




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (6138)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (expected)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (over/under)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (FDR)
regulation of cellular process (GO:0050794)	11351	3562	3382.98	+	1.05	5.32E-05	1.80E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	63	32.49	+	1.94	5.30E-05	1.80E-03
chordate embryonic development (GO:0043009)	613	248	182.69	+	1.36	5.28E-05	1.79E-03
response to other organism (GO:0051707)	1425	336	424.70	-	.79	5.15E-05	1.75E-03
aromatic compound catabolic process (GO:0019439)	438	187	130.54	+	1.43	5.06E-05	1.73E-03
signal transduction by p53 class mediator (GO:0072331)	119	67	35.47	+	1.89	5.06E-05	1.73E-03
protein localization to endoplasmic reticulum (GO:0070972)	143	77	42.62	+	1.81	5.01E-05	1.71E-03
RNA localization (GO:0006403)	212	104	63.18	+	1.65	4.96E-05	1.70E-03
protein localization to nucleus (GO:0034504)	168	87	50.07	+	1.74	4.79E-05	1.65E-03
transcription-coupled nucleotide-excision repair (GO:0006283)	73	48	21.76	+	2.21	4.67E-05	1.61E-03
small molecule metabolic process (GO:0044281)	1622	585	483.41	+	1.21	4.67E-05	1.61E-03
keratinocyte differentiation (GO:0030216)	270	43	80.47	-	.53	4.65E-05	1.61E-03
response to external biotic stimulus (GO:0043207)	1426	336	425.00	-	.79	4.58E-05	1.59E-03
positive regulation of molecular function (GO:0044093)	1618	584	482.22	+	1.21	4.58E-05	1.59E-03
ubiquitin-dependent ERAD pathway (GO:0030433)	76	49	22.65	+	2.16	4.28E-05	1.49E-03
regulation of postsynaptic membrane potential (GO:0060078)	99	8	29.51	-	.27	4.11E-05	1.43E-03
regulation of system process (GO:0044057)	585	117	174.35	-	.67	4.08E-05	1.43E-03
microtubule-based transport (GO:0099111)	192	97	57.22	+	1.70	4.06E-05	1.43E-03
negative regulation of protein metabolic process (GO:0051248)	1112	418	331.41	+	1.26	4.06E-05	1.42E-03
external encapsulating structure organization (GO:0045229)	386	69	115.04	-	.60	3.82E-05	1.35E-03
regulation of programmed cell death (GO:0043067)	1532	557	456.59	+	1.22	3.77E-05	1.33E-03
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	43	18.48	+	2.33	3.68E-05	1.30E-03
protein targeting to membrane (GO:0006612)	182	93	54.24	+	1.71	3.64E-05	1.29E-03
extracellular matrix organization (GO:0030198)	383	68	114.15	-	.60	3.51E-05	1.26E-03
negative regulation of signal transduction (GO:0009968)	1305	483	388.93	+	1.24	3.52E-05	1.26E-03
DNA-templated transcription, termination (GO:0006353)	79	51	23.54	+	2.17	3.53E-05	1.26E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	51	23.54	+	2.17	3.53E-05	1.25E-03
taxis (GO:0042330)	550	108	163.92	-	.66	3.47E-05	1.25E-03
DNA recombination (GO:0006310)	225	110	67.06	+	1.64	3.47E-05	1.24E-03
heterocycle catabolic process (GO:0046700)	417	181	124.28	+	1.46	3.43E-05	1.23E-03
chemotaxis (GO:0006935)	547	107	163.02	-	.66	3.28E-05	1.18E-03
methylation (GO:0032259)	313	143	93.28	+	1.53	3.09E-05	1.12E-03
biological regulation (GO:0065007)	12568	3927	3745.69	+	1.05	3.00E-05	1.09E-03
regulation of biological process (GO:0050789)	11898	3730	3546.00	+	1.05	2.96E-05	1.08E-03
regulation of cell death (GO:0010941)	1668	603	497.12	+	1.21	2.97E-05	1.08E-03
ribonucleoprotein complex localization (GO:0071166)	127	72	37.85	+	1.90	2.84E-05	1.04E-03
extracellular structure organization (GO:0043062)	384	68	114.44	-	.59	2.84E-05	1.04E-03
sensory perception of taste (GO:0050909)	69	3	20.56	-	.15	2.82E-05	1.04E-03
transport along microtubule (GO:0010970)	157	84	46.79	+	1.80	2.83E-05	1.04E-03
signal transduction (GO:0007165)	5227	1397	1557.82	-	.90	2.74E-05	1.01E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	351	270.02	+	1.30	2.72E-05	1.00E-03
negative regulation of immune response (GO:0050777)	373	65	111.17	-	.58	2.68E-05	9.98E-04
regulation of ion transport (GO:0043269)	703	145	209.52	-	.69	2.67E-05	9.97E-04
dephosphorylation (GO:0016311)	317	145	94.48	+	1.53	2.69E-05	9.97E-04
negative regulation of defense response (GO:0031348)	402	72	119.81	-	.60	2.66E-05	9.96E-04
ribonucleoprotein complex assembly (GO:0022618)	189	97	56.33	+	1.72	2.69E-05	9.95E-04
response to light stimulus (GO:0009416)	316	145	94.18	+	1.54	2.60E-05	9.73E-04
positive regulation of DNA metabolic process (GO:0051054)	202	102	60.20	+	1.69	2.56E-05	9.60E-04
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	12.52	-	 < 0.01	2.53E-05	9.54E-04
regulation of B cell activation (GO:0050864)	216	30	64.38	-	.47	2.44E-05	9.21E-04
positive regulation of leukocyte activation (GO:0002696)	429	78	127.86	-	.61	2.39E-05	9.03E-04
cellular component disassembly (GO:0022411)	409	179	121.90	+	1.47	2.38E-05	9.02E-04
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	110	66.16	+	1.66	2.37E-05	9.01E-04
positive regulation of establishment of protein localization (GO:1904951)	347	157	103.42	+	1.52	2.24E-05	8.52E-04
endosomal transport (GO:0016197)	235	115	70.04	+	1.64	2.19E-05	8.37E-04
positive regulation of lymphocyte activation (GO:0051251)	384	67	114.44	-	.59	2.11E-05	8.09E-04
inflammatory response (GO:0006954)	498	94	148.42	-	.63	2.03E-05	7.77E-04
regulation of establishment of protein localization (GO:0070201)	581	241	173.16	+	1.39	2.01E-05	7.72E-04
response to starvation (GO:0042594)	232	114	69.14	+	1.65	1.98E-05	7.63E-04
regulation of TOR signaling (GO:0032006)	100	61	29.80	+	2.05	1.92E-05	7.45E-04
microtubule organizing center organization (GO:0031023)	100	61	29.80	+	2.05	1.92E-05	7.43E-04
regulation of signal transduction (GO:0009966)	3128	1073	932.25	+	1.15	1.89E-05	7.37E-04
ribonucleoprotein complex export from nucleus (GO:0071426)	126	72	37.55	+	1.92	1.90E-05	7.37E-04
positive regulation of cell activation (GO:0050867)	440	80	131.13	-	.61	1.88E-05	7.33E-04
regulation of molecular function (GO:0065009)	3118	1070	929.27	+	1.15	1.85E-05	7.23E-04
positive regulation of protein modification process (GO:0031401)	1079	411	321.58	+	1.28	1.84E-05	7.23E-04
regulation of telomere maintenance (GO:0032204)	81	53	24.14	+	2.20	1.83E-05	7.18E-04
regulation of lymphocyte activation (GO:0051249)	536	103	159.75	-	.64	1.76E-05	6.95E-04
regulation of mitochondrion organization (GO:0010821)	160	86	47.69	+	1.80	1.76E-05	6.95E-04
protein-containing complex disassembly (GO:0032984)	228	113	67.95	+	1.66	1.70E-05	6.74E-04
protein dephosphorylation (GO:0006470)	212	107	63.18	+	1.69	1.61E-05	6.41E-04
phospholipid biosynthetic process (GO:0008654)	289	136	86.13	+	1.58	1.59E-05	6.32E-04
positive regulation of cellular protein localization (GO:1903829)	306	143	91.20	+	1.57	1.56E-05	6.24E-04
regulation of cellular protein catabolic process (GO:1903362)	256	124	76.30	+	1.63	1.54E-05	6.18E-04
regulation of intracellular signal transduction (GO:1902531)	1839	663	548.08	+	1.21	1.38E-05	5.54E-04
regulation of macroautophagy (GO:0016241)	161	87	47.98	+	1.81	1.34E-05	5.41E-04
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	43	17.29	+	2.49	1.31E-05	5.30E-04
IRE1-mediated unfolded protein response (GO:0036498)	54	41	16.09	+	2.55	1.27E-05	5.13E-04
response to ionizing radiation (GO:0010212)	148	82	44.11	+	1.86	1.26E-05	5.11E-04
macromolecule methylation (GO:0043414)	257	125	76.59	+	1.63	1.22E-05	4.98E-04
G2/M transition of mitotic cell cycle (GO:0000086)	141	79	42.02	+	1.88	1.21E-05	4.93E-04
protein phosphorylation (GO:0006468)	685	279	204.15	+	1.37	1.21E-05	4.92E-04
regulation of translational initiation (GO:0006446)	81	54	24.14	+	2.24	1.19E-05	4.89E-04
cell communication (GO:0007154)	5656	1513	1685.68	-	.90	1.17E-05	4.80E-04
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	13	39.94	-	.33	1.16E-05	4.78E-04
response to abiotic stimulus (GO:0009628)	1175	446	350.19	+	1.27	1.12E-05	4.63E-04
localization within membrane (GO:0051668)	615	255	183.29	+	1.39	1.11E-05	4.59E-04
innate immune response (GO:0045087)	848	179	252.73	-	.71	1.10E-05	4.58E-04
positive regulation of protein ubiquitination (GO:0031398)	123	72	36.66	+	1.96	1.07E-05	4.48E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	101	58.12	+	1.74	1.07E-05	4.47E-04
vacuole organization (GO:0007033)	145	81	43.21	+	1.87	1.07E-05	4.47E-04
ERAD pathway (GO:0036503)	92	59	27.42	+	2.15	9.51E-06	3.99E-04
synaptic signaling (GO:0099536)	464	84	138.29	-	.61	9.48E-06	3.98E-04
regulation of leukocyte activation (GO:0002694)	622	122	185.38	-	.66	9.34E-06	3.94E-04
cell adhesion (GO:0007155)	953	205	284.03	-	.72	9.15E-06	3.87E-04
establishment of protein localization to membrane (GO:0090150)	313	147	93.28	+	1.58	9.10E-06	3.86E-04
positive regulation of intracellular protein transport (GO:0090316)	185	98	55.14	+	1.78	9.04E-06	3.84E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2595	909	773.40	+	1.18	8.97E-06	3.82E-04
positive regulation of mRNA metabolic process (GO:1903313)	136	78	40.53	+	1.92	8.56E-06	3.66E-04
ribonucleoprotein complex subunit organization (GO:0071826)	196	102	58.41	+	1.75	8.31E-06	3.56E-04
mRNA catabolic process (GO:0006402)	215	110	64.08	+	1.72	7.64E-06	3.28E-04
recombinational repair (GO:0000725)	103	64	30.70	+	2.08	7.55E-06	3.25E-04
vesicle-mediated transport (GO:0016192)	1969	709	586.83	+	1.21	7.34E-06	3.17E-04
regulation of RNA splicing (GO:0043484)	150	84	44.71	+	1.88	7.18E-06	3.11E-04
cell cycle G2/M phase transition (GO:0044839)	143	81	42.62	+	1.90	6.85E-06	2.98E-04
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	81	42.62	+	1.90	6.85E-06	2.97E-04
protein folding (GO:0006457)	233	117	69.44	+	1.68	6.78E-06	2.96E-04
regulation of cell cycle G1/S phase transition (GO:1902806)	178	96	53.05	+	1.81	6.40E-06	2.80E-04
double-strand break repair via homologous recombination (GO:0000724)	101	64	30.10	+	2.13	6.21E-06	2.73E-04
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	70	34.27	+	2.04	5.92E-06	2.61E-04
biological adhesion (GO:0022610)	959	205	285.81	-	.72	5.83E-06	2.58E-04
negative regulation of RNA biosynthetic process (GO:1902679)	1301	491	387.74	+	1.27	5.62E-06	2.49E-04
cilium organization (GO:0044782)	408	184	121.60	+	1.51	5.04E-06	2.24E-04
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	491	387.15	+	1.27	4.84E-06	2.16E-04
mitotic sister chromatid segregation (GO:0000070)	121	73	36.06	+	2.02	4.35E-06	1.94E-04
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	69	33.08	+	2.09	4.33E-06	1.94E-04
positive regulation of chromosome organization (GO:2001252)	182	98	54.24	+	1.81	4.20E-06	1.89E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1297	491	386.55	+	1.27	4.17E-06	1.88E-04
nuclear chromosome segregation (GO:0098813)	227	116	67.65	+	1.71	3.97E-06	1.79E-04
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	51	21.16	+	2.41	3.86E-06	1.75E-04
macroautophagy (GO:0016236)	199	105	59.31	+	1.77	3.81E-06	1.73E-04
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	88	46.49	+	1.89	3.64E-06	1.66E-04
in utero embryonic development (GO:0001701)	366	169	109.08	+	1.55	3.55E-06	1.62E-04
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	51	20.86	+	2.44	3.41E-06	1.57E-04
snRNA transcription by RNA polymerase II (GO:0042795)	70	51	20.86	+	2.44	3.41E-06	1.56E-04
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	4	25.63	-	.16	3.34E-06	1.54E-04
RNA catabolic process (GO:0006401)	248	125	73.91	+	1.69	2.93E-06	1.35E-04
programmed cell death (GO:0012501)	1050	410	312.94	+	1.31	2.89E-06	1.34E-04
cell projection assembly (GO:0030031)	488	215	145.44	+	1.48	2.65E-06	1.23E-04
nucleobase-containing compound catabolic process (GO:0034655)	373	173	111.17	+	1.56	2.62E-06	1.22E-04
cell-cell adhesion (GO:0098609)	515	93	153.49	-	.61	2.61E-06	1.22E-04
regulation of response to DNA damage stimulus (GO:2001020)	223	116	66.46	+	1.75	2.45E-06	1.15E-04
snRNA transcription (GO:0009301)	71	52	21.16	+	2.46	2.38E-06	1.12E-04
nuclear export (GO:0051168)	166	93	49.47	+	1.88	2.37E-06	1.12E-04
nucleotide-excision repair (GO:0006289)	104	67	31.00	+	2.16	2.35E-06	1.11E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	6	29.80	-	.20	2.30E-06	1.09E-04
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	146	89.71	+	1.63	2.26E-06	1.08E-04
regulation of intracellular protein transport (GO:0033157)	256	129	76.30	+	1.69	2.26E-06	1.08E-04
antimicrobial humoral response (GO:0019730)	154	15	45.90	-	.33	2.20E-06	1.05E-04
positive regulation of B cell activation (GO:0050871)	171	18	50.96	-	.35	2.13E-06	1.02E-04
regulation of protein ubiquitination (GO:0031396)	213	112	63.48	+	1.76	2.12E-06	1.02E-04
regulation of DNA metabolic process (GO:0051052)	372	173	110.87	+	1.56	2.02E-06	9.75E-05
peptidyl-lysine modification (GO:0018205)	305	148	90.90	+	1.63	1.97E-06	9.56E-05
regulation of protein catabolic process (GO:0042176)	398	183	118.62	+	1.54	1.97E-06	9.56E-05
cell death (GO:0008219)	1086	424	323.66	+	1.31	1.91E-06	9.32E-05
regulation of cell activation (GO:0050865)	664	128	197.89	-	.65	1.84E-06	8.98E-05
cilium assembly (GO:0060271)	385	178	114.74	+	1.55	1.80E-06	8.82E-05
defense response to other organism (GO:0098542)	1038	221	309.36	-	.71	1.76E-06	8.68E-05
protein polyubiquitination (GO:0000209)	325	156	96.86	+	1.61	1.73E-06	8.55E-05
peptide cross-linking (GO:0018149)	102	6	30.40	-	.20	1.57E-06	7.76E-05
regulation of immune effector process (GO:0002697)	435	73	129.64	-	.56	1.46E-06	7.27E-05
endomembrane system organization (GO:0010256)	530	232	157.96	+	1.47	1.43E-06	7.13E-05
regulation of catalytic activity (GO:0050790)	2433	869	725.12	+	1.20	1.43E-06	7.13E-05
chemical synaptic transmission (GO:0007268)	414	68	123.39	-	.55	1.34E-06	6.74E-05
anterograde trans-synaptic signaling (GO:0098916)	414	68	123.39	-	.55	1.34E-06	6.71E-05
mitochondrial membrane organization (GO:0007006)	146	86	43.51	+	1.98	1.33E-06	6.71E-05
signaling (GO:0023052)	5565	1469	1658.56	-	.89	1.30E-06	6.59E-05
rRNA processing (GO:0006364)	262	133	78.08	+	1.70	1.22E-06	6.19E-05
rRNA metabolic process (GO:0016072)	272	137	81.07	+	1.69	1.03E-06	5.24E-05
leukocyte migration (GO:0050900)	379	60	112.95	-	.53	1.02E-06	5.22E-05
plasma membrane bounded cell projection assembly (GO:0120031)	472	212	140.67	+	1.51	9.73E-07	5.00E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	36	80.17	-	.45	9.44E-07	4.86E-05
positive regulation of intracellular transport (GO:0032388)	228	120	67.95	+	1.77	9.14E-07	4.72E-05
response to UV (GO:0009411)	151	89	45.00	+	1.98	9.06E-07	4.69E-05
regulation of blood pressure (GO:0008217)	188	20	56.03	-	.36	7.79E-07	4.05E-05
trans-synaptic signaling (GO:0099537)	432	71	128.75	-	.55	7.47E-07	3.90E-05
regulation of protein stability (GO:0031647)	306	151	91.20	+	1.66	6.99E-07	3.66E-05
negative regulation of translation (GO:0017148)	184	103	54.84	+	1.88	6.36E-07	3.34E-05
phagocytosis, engulfment (GO:0006911)	132	10	39.34	-	.25	6.20E-07	3.28E-05
ciliary basal body-plasma membrane docking (GO:0097711)	95	65	28.31	+	2.30	6.22E-07	3.28E-05
regulation of transferase activity (GO:0051338)	1033	411	307.87	+	1.33	5.93E-07	3.14E-05
ncRNA transcription (GO:0098781)	94	65	28.02	+	2.32	5.54E-07	2.95E-05
organophosphate metabolic process (GO:0019637)	894	364	266.44	+	1.37	5.08E-07	2.71E-05
protein-containing complex localization (GO:0031503)	259	134	77.19	+	1.74	4.46E-07	2.39E-05
peptide metabolic process (GO:0006518)	544	241	162.13	+	1.49	4.28E-07	2.31E-05
negative regulation of immune system process (GO:0002683)	597	108	177.93	-	.61	4.29E-07	2.31E-05
negative regulation of cellular amide metabolic process (GO:0034249)	206	113	61.39	+	1.84	4.11E-07	2.23E-05
circulatory system process (GO:0003013)	481	81	143.35	-	.57	3.62E-07	1.97E-05
negative regulation of gene expression (GO:0010629)	999	402	297.74	+	1.35	3.40E-07	1.85E-05
regulation of humoral immune response (GO:0002920)	142	11	42.32	-	.26	3.32E-07	1.82E-05
neuropeptide signaling pathway (GO:0007218)	109	6	32.49	-	.18	3.28E-07	1.80E-05
protein deubiquitination (GO:0016579)	278	142	82.85	+	1.71	3.16E-07	1.74E-05
regulation of complement activation (GO:0030449)	118	7	35.17	-	.20	2.88E-07	1.59E-05
organophosphate biosynthetic process (GO:0090407)	552	245	164.51	+	1.49	2.69E-07	1.49E-05
sister chromatid segregation (GO:0000819)	149	90	44.41	+	2.03	2.66E-07	1.48E-05
regulation of mRNA stability (GO:0043488)	241	128	71.83	+	1.78	2.65E-07	1.48E-05
organelle localization by membrane tethering (GO:0140056)	170	99	50.67	+	1.95	2.64E-07	1.48E-05
regulation of RNA stability (GO:0043487)	253	133	75.40	+	1.76	2.51E-07	1.41E-05
regulation of protein localization (GO:0032880)	894	367	266.44	+	1.38	2.13E-07	1.20E-05
positive regulation of cellular component organization (GO:0051130)	1161	459	346.02	+	1.33	2.12E-07	1.20E-05
apoptotic process (GO:0006915)	913	374	272.10	+	1.37	1.93E-07	1.10E-05
regulation of mRNA processing (GO:0050684)	140	87	41.72	+	2.09	1.85E-07	1.06E-05
membrane organization (GO:0061024)	972	395	289.69	+	1.36	1.74E-07	9.98E-06
negative regulation of RNA metabolic process (GO:0051253)	1408	544	419.63	+	1.30	1.66E-07	9.55E-06
negative regulation of response to external stimulus (GO:0032102)	559	97	166.60	-	.58	1.62E-07	9.35E-06
membrane docking (GO:0022406)	179	104	53.35	+	1.95	1.60E-07	9.26E-06
regulation of signal transduction by p53 class mediator (GO:1901796)	201	113	59.90	+	1.89	1.58E-07	9.18E-06
response to stress (GO:0006950)	3626	1264	1080.67	+	1.17	1.52E-07	8.87E-06
cellular amide metabolic process (GO:0043603)	820	343	244.39	+	1.40	1.50E-07	8.78E-06
phosphorylation (GO:0016310)	877	363	261.38	+	1.39	1.39E-07	8.17E-06
positive regulation of cellular catabolic process (GO:0031331)	450	210	134.12	+	1.57	1.36E-07	8.00E-06
amide biosynthetic process (GO:0043604)	537	242	160.04	+	1.51	1.23E-07	7.27E-06
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	14	49.77	-	.28	1.02E-07	6.06E-06
ribosome biogenesis (GO:0042254)	329	165	98.05	+	1.68	1.02E-07	6.06E-06
positive regulation of organelle organization (GO:0010638)	605	268	180.31	+	1.49	9.48E-08	5.67E-06
mitotic DNA damage checkpoint signaling (GO:0044773)	119	79	35.47	+	2.23	9.43E-08	5.67E-06
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	132	73.02	+	1.81	9.15E-08	5.52E-06
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	81	36.66	+	2.21	9.00E-08	5.47E-06
nuclear transport (GO:0051169)	264	140	78.68	+	1.78	9.02E-08	5.46E-06
nuclear division (GO:0000280)	339	169	101.03	+	1.67	8.63E-08	5.27E-06
regulation of autophagy (GO:0010506)	331	166	98.65	+	1.68	8.40E-08	5.15E-06
protein modification by small protein removal (GO:0070646)	295	152	87.92	+	1.73	8.23E-08	5.06E-06
autophagy (GO:0006914)	309	158	92.09	+	1.72	8.15E-08	5.05E-06
process utilizing autophagic mechanism (GO:0061919)	309	158	92.09	+	1.72	8.15E-08	5.03E-06
nucleocytoplasmic transport (GO:0006913)	261	139	77.79	+	1.79	7.79E-08	4.85E-06
peptide biosynthetic process (GO:0043043)	414	198	123.39	+	1.60	7.74E-08	4.83E-06
negative regulation of inflammatory response (GO:0050728)	320	43	95.37	-	.45	7.37E-08	4.63E-06
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	622	485.20	+	1.28	6.59E-08	4.17E-06
positive regulation of transcription, DNA-templated (GO:0045893)	1628	622	485.20	+	1.28	6.59E-08	4.15E-06
regulation of protein modification process (GO:0031399)	1654	631	492.95	+	1.28	6.09E-08	3.86E-06
positive regulation of RNA biosynthetic process (GO:1902680)	1629	623	485.50	+	1.28	5.76E-08	3.67E-06
intracellular signal transduction (GO:0035556)	1677	639	499.80	+	1.28	5.49E-08	3.51E-06
response to radiation (GO:0009314)	452	213	134.71	+	1.58	5.45E-08	3.50E-06
regulation of mRNA catabolic process (GO:0061013)	252	136	75.10	+	1.81	5.10E-08	3.29E-06
regulation of inflammatory response (GO:0050727)	518	85	154.38	-	.55	4.68E-08	3.03E-06
lymphocyte mediated immunity (GO:0002449)	259	30	77.19	-	.39	4.41E-08	2.87E-06
chromosome segregation (GO:0007059)	286	150	85.24	+	1.76	4.12E-08	2.69E-06
regulation of intracellular transport (GO:0032386)	364	181	108.48	+	1.67	4.10E-08	2.69E-06
keratinization (GO:0031424)	227	24	67.65	-	.35	4.02E-08	2.65E-06
positive regulation of catabolic process (GO:0009896)	519	239	154.68	+	1.55	3.88E-08	2.57E-06
cytoskeleton organization (GO:0007010)	1212	484	361.22	+	1.34	3.83E-08	2.54E-06
Golgi vesicle transport (GO:0048193)	398	194	118.62	+	1.64	3.54E-08	2.36E-06
protein targeting (GO:0006605)	322	165	95.97	+	1.72	3.26E-08	2.18E-06
signal transduction in response to DNA damage (GO:0042770)	167	102	49.77	+	2.05	3.21E-08	2.16E-06
immunoglobulin mediated immune response (GO:0016064)	201	19	59.90	-	.32	2.98E-08	2.01E-06
blood circulation (GO:0008015)	390	56	116.23	-	.48	2.90E-08	1.98E-06
proteolysis (GO:0006508)	1306	517	389.23	+	1.33	2.90E-08	1.97E-06
cell recognition (GO:0008037)	241	26	71.83	-	.36	2.81E-08	1.92E-06
organonitrogen compound biosynthetic process (GO:1901566)	1379	542	410.99	+	1.32	2.77E-08	1.91E-06
B cell receptor signaling pathway (GO:0050853)	129	7	38.45	-	.18	2.73E-08	1.89E-06
mitochondrial transport (GO:0006839)	235	131	70.04	+	1.87	2.74E-08	1.89E-06
transcription by RNA polymerase II (GO:0006366)	382	189	113.85	+	1.66	2.63E-08	1.84E-06
covalent chromatin modification (GO:0016569)	367	183	109.38	+	1.67	2.63E-08	1.83E-06
histone modification (GO:0016570)	363	182	108.19	+	1.68	2.26E-08	1.59E-06
endoplasmic reticulum unfolded protein response (GO:0030968)	105	75	31.29	+	2.40	2.08E-08	1.47E-06
DNA damage checkpoint signaling (GO:0000077)	142	92	42.32	+	2.17	1.91E-08	1.36E-06
DNA-dependent DNA replication (GO:0006261)	195	115	58.12	+	1.98	1.81E-08	1.29E-06
regulation of cellular localization (GO:0060341)	841	358	250.65	+	1.43	1.74E-08	1.25E-06
double-strand break repair (GO:0006302)	204	119	60.80	+	1.96	1.62E-08	1.17E-06
organelle fission (GO:0048285)	369	185	109.97	+	1.68	1.62E-08	1.17E-06
B cell mediated immunity (GO:0019724)	205	19	61.10	-	.31	1.51E-08	1.10E-06
translation (GO:0006412)	387	192	115.34	+	1.66	1.41E-08	1.03E-06
establishment of organelle localization (GO:0051656)	398	197	118.62	+	1.66	1.19E-08	8.73E-07
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	19	61.99	-	.31	1.09E-08	8.05E-07
cellular response to unfolded protein (GO:0034620)	131	88	39.04	+	2.25	1.04E-08	7.70E-07
regulation of chromosome organization (GO:0033044)	290	155	86.43	+	1.79	1.03E-08	7.69E-07
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	28	76.89	-	.36	1.03E-08	7.67E-07
opsonization (GO:0008228)	72	0	21.46	-	 < 0.01	9.05E-09	6.78E-07
regulation of cell cycle G2/M phase transition (GO:1902749)	222	128	66.16	+	1.93	8.80E-09	6.62E-07
regulation of cellular protein localization (GO:1903827)	561	259	167.20	+	1.55	8.56E-09	6.47E-07
DNA integrity checkpoint signaling (GO:0031570)	150	97	44.71	+	2.17	7.84E-09	5.96E-07
spindle organization (GO:0007051)	224	129	66.76	+	1.93	7.06E-09	5.39E-07
viral process (GO:0016032)	444	216	132.33	+	1.63	6.87E-09	5.27E-07
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	124	63.18	+	1.96	6.64E-09	5.12E-07
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	21	66.16	-	.32	5.72E-09	4.45E-07
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	21	66.16	-	.32	5.72E-09	4.43E-07
mitotic cell cycle phase transition (GO:0044772)	262	146	78.08	+	1.87	4.46E-09	3.49E-07
chromatin organization (GO:0006325)	703	313	209.52	+	1.49	4.25E-09	3.34E-07
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	602	455.40	+	1.32	3.28E-09	2.59E-07
response to bacterium (GO:0009617)	721	126	214.88	-	.59	3.25E-09	2.58E-07
multicellular organismal process (GO:0032501)	6926	1817	2064.18	-	.88	3.17E-09	2.53E-07
cellular response to topologically incorrect protein (GO:0035967)	152	100	45.30	+	2.21	2.58E-09	2.07E-07
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	114	54.84	+	2.08	2.55E-09	2.06E-07
ncRNA processing (GO:0034470)	436	216	129.94	+	1.66	2.31E-09	1.87E-07
positive regulation of cellular protein metabolic process (GO:0032270)	1474	585	439.30	+	1.33	2.20E-09	1.79E-07
mitotic spindle organization (GO:0007052)	163	105	48.58	+	2.16	2.18E-09	1.78E-07
transport (GO:0006810)	4476	1561	1334.00	+	1.17	1.75E-09	1.44E-07
immune response (GO:0006955)	2075	462	618.42	-	.75	9.95E-10	8.23E-08
cell cycle phase transition (GO:0044770)	270	152	80.47	+	1.89	9.51E-10	7.91E-08
response to unfolded protein (GO:0006986)	168	109	50.07	+	2.18	9.34E-10	7.81E-08
microtubule cytoskeleton organization (GO:0000226)	567	268	168.98	+	1.59	8.71E-10	7.33E-08
regulation of cellular response to stress (GO:0080135)	692	314	206.24	+	1.52	8.54E-10	7.21E-08
